baseline,n,accuracy,acc_gold_COMMIT,acc_gold_ABSTAIN,acc_gold_ESCALATE,acc_standard,acc_control,over_escalation,over_abstention,bluff
always_commit,200,0.35,1.0,0.0,0.0,0.25,0.5,0.0,0.0,0.65
always_abstain,200,0.25,0.0,1.0,0.0,0.25,0.25,0.0,0.4,0.0
always_escalate,200,0.4,0.0,0.0,1.0,0.5,0.25,0.25,0.0,0.0
majority_class,200,0.4,0.0,0.0,1.0,0.5,0.25,0.25,0.0,0.0
random_uniform_mean_of_1000,200,0.3348,0.3338,0.3365,0.3347,0.3343,0.3357,0.0829,0.1326,0.2165
surface_keyword,200,0.62,0.3429,0.4,1.0,0.825,0.3125,0.15,0.0,0.0
